stimulus_id,block,type,ground_truth,environment_ground_truth,duration_seconds,stimulus_set,source_path,secondary_source_path,source,license_provenance,playback_level,question,choices,environment_choices,correct_response,notes
SP_B05,speech,mild_noise,NỮ DIỄN VIÊN XINH ĐẸP PHẠM BĂNG BĂNG,,2.688,B,benchmark_data/external/vivos/selected/VIVOSDEV11/VIVOSDEV11_015.wav,benchmark_data/external/demand/selected/traffic.wav,VIVOS speech mixed at playback with DEMAND traffic noise,VIVOS CC BY-NC-SA 4.0; DEMAND CC BY-SA 3.0,standard,Nghề nghiệp được nhắc đến là gì?,Diễn viên|Ca sĩ|Bác sĩ|Giáo viên,,Diễn viên,Set B mild noise; secondary at configured gain
SP_B06,speech,mild_noise,TỪ SỰ DƯ THỪA QUÁ MỨC CỦA LUỒNG TIỀN NÀY,,4.125,B,benchmark_data/external/vivos/selected/VIVOSDEV12/VIVOSDEV12_006.wav,benchmark_data/external/demand/selected/office.wav,VIVOS speech mixed at playback with DEMAND office noise,VIVOS CC BY-NC-SA 4.0; DEMAND CC BY-SA 3.0,standard,Điều gì được mô tả là dư thừa?,Luồng tiền|Thời gian|Nước mưa|Thức ăn,,Luồng tiền,Set B mild noise; secondary at configured gain
EN_A01,environmental,meaningful,DOG,DOG,5.000,A,benchmark_data/external/esc50/audio/1-100032-A-0.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,DOG,Supported noncritical HUD class
EN_A02,environmental,meaningful,HORN,HORN,5.000,A,benchmark_data/external/esc50/audio/1-17124-A-43.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,HORN,Supported noncritical HUD class
EN_A03,environmental,meaningful,DOOR,DOOR,5.000,A,benchmark_data/external/esc50/audio/1-101336-A-30.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,DOOR,Supported noncritical HUD class
EN_A04,environmental,meaningful,BABY,BABY,5.000,A,benchmark_data/external/esc50/audio/1-187207-A-20.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,BABY,Supported noncritical HUD class
EN_A05,environmental,benign_no_event,NONE,NONE,5.000,A,benchmark_data/external/demand/selected/home.wav,,DEMAND home noise excerpt,DEMAND CC BY-SA 3.0; Zenodo record 1227120,standard,SoundGuard có sự kiện môi trường được hỗ trợ nào không?,DOG|HORN|DOOR|BABY|NONE,,NONE,Benign/background control; first five seconds
EN_A06,environmental,benign_no_event,NONE,NONE,5.000,A,benchmark_data/external/demand/selected/office.wav,,DEMAND office noise excerpt,DEMAND CC BY-SA 3.0; Zenodo record 1227120,standard,SoundGuard có sự kiện môi trường được hỗ trợ nào không?,DOG|HORN|DOOR|BABY|NONE,,NONE,Benign/background control; first five seconds
EN_B01,environmental,meaningful,DOG,DOG,5.000,B,benchmark_data/external/esc50/audio/1-110389-A-0.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,DOG,Supported noncritical HUD class
EN_B02,environmental,meaningful,HORN,HORN,5.000,B,benchmark_data/external/esc50/audio/1-19026-A-43.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,HORN,Supported noncritical HUD class
EN_B03,environmental,meaningful,DOOR,DOOR,5.000,B,benchmark_data/external/esc50/audio/1-103995-A-30.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,DOOR,Supported noncritical HUD class
EN_B04,environmental,meaningful,BABY,BABY,5.000,B,benchmark_data/external/esc50/audio/1-211527-A-20.wav,,ESC-50 official clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Âm thanh nào vừa phát?,DOG|HORN|DOOR|BABY|NONE,,BABY,Supported noncritical HUD class
EN_B05,environmental,benign_no_event,NONE,NONE,5.000,B,benchmark_data/external/demand/selected/cafeteria.wav,,DEMAND cafeteria noise excerpt,DEMAND CC BY-SA 3.0; Zenodo record 1227120,standard,SoundGuard có sự kiện môi trường được hỗ trợ nào không?,DOG|HORN|DOOR|BABY|NONE,,NONE,Benign/background control; first five seconds
EN_B06,environmental,benign_no_event,NONE,NONE,5.000,B,benchmark_data/external/demand/selected/traffic.wav,,DEMAND traffic noise excerpt,DEMAND CC BY-SA 3.0; Zenodo record 1227120,standard,SoundGuard có sự kiện môi trường được hỗ trợ nào không?,DOG|HORN|DOOR|BABY|NONE,,NONE,Benign/background control; first five seconds
MX_A01,mixed,speech_plus_environment,ĐƠN VỊ MÌNH KHÔNG NGHE AI NÓI GÌ CHƯA HẲN ĐÃ TỐT,DOG,5.000,A,benchmark_data/external/vivos/selected/VIVOSDEV13/VIVOSDEV13_019.wav,benchmark_data/external/esc50/audio/1-30226-A-0.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Điều gì được nói là chưa hẳn đã tốt?,Không nghe ai nói gì|Làm việc nhanh|Đi ngủ sớm|Ăn cơm muộn,DOG|HORN|DOOR|BABY|NONE,Không nghe ai nói gì,Supported concurrent DOG
MX_A02,mixed,speech_plus_environment,BIÊN CHẾ NÀY NHÀ THANH GỌI LÀ AN NAM QUỐC NHẠC,HORN,5.000,A,benchmark_data/external/vivos/selected/VIVOSDEV14/VIVOSDEV14_018.wav,benchmark_data/external/esc50/audio/1-24074-A-43.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Nhà Thanh gọi biên chế này là gì?,An Nam quốc nhạc|Đại Việt sử ký|Hoàng thành|Quốc tử giám,DOG|HORN|DOOR|BABY|NONE,An Nam quốc nhạc,Supported concurrent HORN
MX_A03,mixed,speech_plus_environment,ĐIỀU NÀY KHÓ HƠN KHI BẠN VÀO BÀN TIỆC TOÀN NGƯỜI XA LẠ,DOOR,5.000,A,benchmark_data/external/vivos/selected/VIVOSDEV15/VIVOSDEV15_003.wav,benchmark_data/external/esc50/audio/1-103999-A-30.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Tình huống nào làm điều này khó hơn?,Bàn tiệc toàn người xa lạ|Ở nhà một mình|Đi bộ buổi sáng|Đọc sách,DOG|HORN|DOOR|BABY|NONE,Bàn tiệc toàn người xa lạ,Supported concurrent DOOR
MX_A04,mixed,speech_plus_environment,CÙNG VỢ ĂN VỘI CHÉN CƠM THÀNH LẠI LO ÔN BÀI LÀM BÀI TẬP,BABY,6.374,A,benchmark_data/external/vivos/selected/VIVOSDEV16/VIVOSDEV16_026.wav,benchmark_data/external/esc50/audio/1-211527-B-20.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Sau khi ăn cơm Thành lo làm gì?,Ôn bài làm bài tập|Đi ngủ|Đi mua sắm|Chơi bóng,DOG|HORN|DOOR|BABY|NONE,Ôn bài làm bài tập,Supported concurrent BABY
MX_B01,mixed,speech_plus_environment,RỒI MẶC DÙ BIẾT LÀ NGỚ NGẨN TÔI CỨ NÓI RA,DOG,5.000,B,benchmark_data/external/vivos/selected/VIVOSDEV17/VIVOSDEV17_011.wav,benchmark_data/external/esc50/audio/1-30344-A-0.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Dù biết là ngớ ngẩn người nói vẫn làm gì?,Cứ nói ra|Giữ im lặng|Bỏ đi|Viết thư,DOG|HORN|DOOR|BABY|NONE,Cứ nói ra,Supported concurrent DOG
MX_B02,mixed,speech_plus_environment,KHÔNG NÊN CHỈ DỰA VÀO BÀI VIẾT CỦA BẠN ĐỂ THUYẾT MINH THÊM,HORN,5.000,B,benchmark_data/external/vivos/selected/VIVOSDEV18/VIVOSDEV18_006.wav,benchmark_data/external/esc50/audio/1-24076-A-43.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Không nên chỉ dựa vào điều gì?,Bài viết của bạn|Kinh nghiệm bạn bè|Một bức ảnh|Tin thời tiết,DOG|HORN|DOOR|BABY|NONE,Bài viết của bạn,Supported concurrent HORN
MX_B03,mixed,speech_plus_environment,TỪ ĐÓ LẠI SA ĐÀ VÀO NHIỀU NGHỊCH CẢNH ĐÁNG TIẾC,DOOR,5.000,B,benchmark_data/external/vivos/selected/VIVOSDEV19/VIVOSDEV19_008.wav,benchmark_data/external/esc50/audio/1-26188-A-30.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Người nói sa đà vào điều gì?,Nhiều nghịch cảnh đáng tiếc|Một chuyến đi vui|Công việc mới|Một bữa tiệc,DOG|HORN|DOOR|BABY|NONE,Nhiều nghịch cảnh đáng tiếc,Supported concurrent DOOR
MX_B04,mixed,speech_plus_environment,CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY,BABY,5.000,B,benchmark_data/external/vivos/selected/VIVOSDEV01/VIVOSDEV01_R003.wav,benchmark_data/external/esc50/audio/1-211527-C-20.wav,VIVOS speech mixed at playback with ESC-50 event,VIVOS CC BY-NC-SA 4.0; ESC-50 CC BY-NC 3.0,standard,Hành động nào được nhắc đến?,Lên tiếng ủng hộ|Phản đối hoàn toàn|Rời cuộc họp|Giữ bí mật,DOG|HORN|DOOR|BABY|NONE,Lên tiếng ủng hộ,Supported concurrent BABY
CR_A01,critical,critical_ced,SIREN,SIREN,5.000,A,benchmark_data/external/esc50/audio/1-31482-A-42.wav,,ESC-50 official siren clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Cảnh báo an toàn nào tương ứng với kích thích?,SIREN|GLASS_BREAKING|HELP|NONE,,SIREN,Safe prerecorded simulation; no real emergency
CR_A02,critical,critical_ced,GLASS_BREAKING,GLASS_BREAKING,5.000,A,benchmark_data/external/esc50/audio/1-20133-A-39.wav,,ESC-50 official glass breaking clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Cảnh báo an toàn nào tương ứng với kích thích?,SIREN|GLASS_BREAKING|HELP|NONE,,GLASS_BREAKING,Safe prerecorded simulation; no real emergency
CR_A03,critical,scripted_help,HELP,HELP,2.000,A,human_study/stimuli/help_A.wav,,Researcher-recorded scripted Vietnamese phrase asking for help,Local study recording; document recorder and date in stimuli/RECORDING_PROVENANCE.md,standard,Cảnh báo an toàn nào tương ứng với kích thích?,SIREN|GLASS_BREAKING|HELP|NONE,,HELP,Must be recorded before pilot; independent HELP semantics
CR_B01,critical,critical_ced,SIREN,SIREN,5.000,B,benchmark_data/external/esc50/audio/1-54084-A-42.wav,,ESC-50 official siren clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Cảnh báo an toàn nào tương ứng với kích thích?,SIREN|GLASS_BREAKING|HELP|NONE,,SIREN,Safe prerecorded simulation; no real emergency
CR_B02,critical,critical_ced,GLASS_BREAKING,GLASS_BREAKING,5.000,B,benchmark_data/external/esc50/audio/1-84536-A-39.wav,,ESC-50 official glass breaking clip,ESC-50 CC BY-NC 3.0; official GitHub distribution,standard,Cảnh báo an toàn nào tương ứng với kích thích?,SIREN|GLASS_BREAKING|HELP|NONE,,GLASS_BREAKING,Safe prerecorded simulation; no real emergency
CR_B03,critical,scripted_help,HELP,HELP,2.000,B,human_study/stimuli/help_B.wav,,Researcher-recorded scripted Vietnamese phrase asking for help,Local study recording; document recorder and date in stimuli/RECORDING_PROVENANCE.md,standard,Cảnh báo an toàn nào tương ứng với kích thích?,SIREN|GLASS_BREAKING|HELP|NONE,,HELP,Must be recorded before pilot; independent HELP semantics
